mesh3	保全優先度全国ランク_全分類群	保全優先度全国ランク_植物	保全優先度全国ランク_哺乳類	保全優先度全国ランク_鳥類	保全優先度全国ランク_爬虫類	保全優先度全国ランク_両生類	保全優先度全国ランク_淡水魚類	保全優先度県内ランク_全分類群	保全優先度全国ランク_セミ類	保全優先度全国ランク_チョウ類	保全優先度全国ランク_トンボ類	種数_植物	種数_哺乳類	種数_鳥類	種数_爬虫類	種数_両生類	種数_淡水魚類	種数_セミ類	種数_チョウ類	種数_トンボ類	種数ランク_植物	種数ランク_哺乳類	種数ランク_鳥類	種数ランク_爬虫類	種数ランク_両生類	種数ランク_淡水魚類	種数ランク_セミ類	種数ランク_チョウ類	種数ランク_トンボ類
52364791	0.852	0.62	0.65	0.955	0.878	0.677	0.9	0.708	0.552	0.23	0.786	655	8	130	4	3	28	5	30	25	0.73	0.2216	0.9703	0.6797	0.4192	0.8841	0.7748	0.5219	0.7298
52364792	0.868	0.797	0.806	0.928	0.892	0.883	0.883	0.668	0.658	0.192	0.805	636	8	115	6	5	29	5	27	34	0.7156	0.2216	0.9527	0.7564	0.5899	0.8925	0.7748	0.4848	0.7946
52364793	0.891	0.895	0.845	0.903	0.879	0.967	0.887	0.694	0.683	0.217	0.879	682	9	97	6	6	28	5	32	39	0.7489	0.2906	0.9188	0.7564	0.6718	0.8841	0.7748	0.5455	0.8254
52364794	0.876	0.854	0.765	0.905	0.859	0.883	0.909	0.539	0.685	0.181	0.88	609	7	100	6	6	32	5	31	38	0.6949	0.1602	0.9256	0.7564	0.6718	0.9143	0.7748	0.5339	0.8195
52364795	0.908	0.835	0.769	0.916	0.875	0.798	0.949	0.779	0.827	0.403	0.909	760	7	110	7	6	44	7	42	44	0.7979	0.1602	0.9451	0.7878	0.6718	0.9707	0.8903	0.654	0.8537
52364796	0.871	0.908	0.755	0.864	0.877	0.759	0.923	0.663	0.843	0.502	0.867	856	8	89	9	7	39	7	48	46	0.8497	0.2216	0.8977	0.8479	0.7463	0.9522	0.8903	0.7139	0.8646
52364797	0.852	0.87	0.75	0.835	0.871	0.829	0.906	0.615	0.846	0.543	0.884	838	8	89	8	7	35	7	52	53	0.8408	0.2216	0.8977	0.8182	0.7463	0.9328	0.8903	0.7503	0.899
52364798	0.82	0.843	0.765	0.817	0.859	0.828	0.882	0.454	0.816	0.426	0.886	864	6	79	7	8	32	7	42	51	0.8535	0.1111	0.867	0.7878	0.8101	0.9143	0.8903	0.654	0.8898
52364799	0.787	0.784	0.674	0.778	0.873	0.933	0.839	0.398	0.849	0.492	0.941	864	6	79	7	8	22	7	54	67	0.8535	0.1111	0.867	0.7878	0.8101	0.8221	0.8903	0.7675	0.9587
52365605	0.897	0.234	0.427	0.986	0.538	0.718	0.886	0.839	0.44	0.087	0.882	290	7	164	2	3	30	5	15	35	0.3839	0.1602	0.9921	0.5598	0.4192	0.9002	0.7748	0.3088	0.8011
